Wavelength,Intensity
685.864649901925,614
685.87501678957983,614.5
685.88538340278365,612.5
685.89574974151139,612.5
685.90611580573875,612
685.91648159544127,612
685.92684711059417,613.5
685.937212351173,616
685.94757731715322,616
685.95794200851014,611.5
685.96830642521957,612.5
685.97867056725647,612.5
685.98903443459665,614.5
685.99939802721542,613
686.00976134508846,612.5
686.02012438819088,614.5
686.03048715649845,618
686.04084964998628,616.5
686.05121186863016,616
686.06157381240553,613.5
686.07193548128771,612.5
686.08229687525227,612.5
686.09265799427453,615.5
686.10301883833006,615.5
686.1133794073944,616.5
686.123739701443,616.5
686.13409972045133,616.5
686.1444594643948,618
686.154818933249,615
686.16517812698942,616.5
686.17553704559145,616
686.18589568903053,614
686.19625405728209,614.5
686.20661215032192,617
686.21696996812534,617
686.22732751066781,617.5
686.23768477792487,615
686.2480417698722,617
686.25839848648491,617
686.26875492773854,617
686.279111093609,619
686.28946698407162,612.5
686.2998225991015,614.5
686.31017793867477,615
686.32053300276641,615
686.33088779135221,614
686.34124230440773,615
686.35159654190829,615.5
686.36195050382946,616
686.37230419014691,616.5
686.382657600836,615.5
686.39301073587228,614.5
686.40336359523133,615
686.41371617888842,615
686.42406848681946,615.5
686.43442051899979,616
686.444772275405,614.5
686.45512375601038,614.5
686.46547496079177,614
686.47582588972443,613.5
686.48617654278416,614.5
686.49652691994629,613.5
686.5068770211866,615
686.51722684648041,613
686.52757639580341,613.5
686.53792566913091,614
686.5482746664386,616
686.558623387702,615
686.56897183289686,617.5
686.57932000199844,618
686.58966789498243,619
686.60001551182449,619
686.61036285249986,616.5
686.62070991698431,617.5
686.63105670525329,614
686.64140321728269,614.5
686.65174945304773,614.5
686.662095412524,616
686.67244109568719,617.5
686.68278650251284,617
686.69313163297636,617
686.70347648705354,614.5
686.71382106471981,615.5
686.72416536595085,616
686.734509390722,616
686.74485313900914,613.5
686.75519661078772,613.5
686.76553980603353,615
686.77588272472167,615.5
686.786225366828,614
686.79656773232819,615
686.80690982119768,613
686.81725163341218,615
686.82759316894726,613.5
686.83793442777824,613.5
686.84827540988124,613
686.85861611523137,613.5
686.86895654380442,615.5
686.87929669557593,614.5
686.8896365705217,615.5
686.89997616861729,617.5
686.910315489838,616
686.92065453415967,617.5
686.93099330155792,615
686.94133179200821,611.5
686.95167000548622,611.5
686.96200794196773,618
686.97234560142817,618
686.98268298384323,618
686.99302008918846,614.5
687.00335691743965,615
687.01369346857211,614.5
687.02402974256177,614.5
687.03436573938393,614.5
687.0447014590145,616
687.05503690142916,613.5
687.06537206660323,614
687.07570695451261,613
687.08604156513275,615
687.09637589843942,613
687.1067099544083,615.5
687.11704373301473,615
687.1273772342347,615
687.13771045804367,615
687.14804340441719,613
687.15837607333117,613
687.16870846476115,615
687.17904057868259,616.5
687.18937241507138,616.5
687.199703973903,616
687.21003525515334,615.5
687.22036625879775,612.5
687.230696984812,612.5
687.24102743317189,612
687.251357603853,614
687.26168749683086,614.5
687.27201711208136,614
687.2823464495799,614.5
687.2926755093024,610.5
687.30300429122428,612
687.31333279532146,615.5
687.32366102156948,616
687.333988969944,613.5
687.34431664042086,613.5
687.35464403297544,613.5
687.36497114758367,615
687.37529798422122,614
687.38562454286341,616
687.39595082348637,617.5
687.40627682606566,613.5
687.416602550577,613.5
687.42692799699591,615.5
687.4372531652981,615.5
687.4475780554593,615.5
687.45790266745541,616.5
687.468227001262,615.5
687.4785510568546,615
687.488874834209,614.5
687.49919833330091,615
687.5095215541063,616
687.5198444966004,617
687.53016716075922,617
687.54048954655843,616
687.5508116539736,615
687.56113348298072,616
687.57145503355514,615
687.58177630567286,616.5
687.59209729930944,616
687.60241801444079,617
687.61273845104245,616
687.62305860909009,615
687.63337848855963,615
687.64369808942649,615
687.65401741166681,617
687.66433645525592,613.5
687.67465522016994,614.5
687.68497370638443,614.5
687.69529191387483,616
687.70560984261726,615
687.71592749258741,615
687.72624486376083,615.5
687.73656195611352,615.5
687.74687876962093,613
687.757195304259,613
687.7675115600033,615
687.77782753682982,616.5
687.7881432347142,615.5
687.79845865363222,617
687.80877379355945,616.5
687.81908865447178,617
687.82940323634512,616
687.839717539155,616.5
687.85003156287723,616.5
687.86034530748736,616.5
687.87065877296163,618
687.8809719592756,618.5
687.891284866405,619
687.90159749432553,618.5
687.91190984301306,615.5
687.92222191244332,617.5
687.932533702592,614
687.94284521343491,614.5
687.953156444948,613.5
687.96346739710691,616
687.97377806988743,618
687.98408846326538,614
687.99439857721632,618
688.00470841171636,610.5
688.01501796674108,617
688.02532724226637,616.5
688.035636238268,617
688.04594495472179,617
688.05625339160349,618.5
688.0665615488889,618
688.07686942655369,618
688.08717702457375,617
688.0974843429251,616
688.10779138158318,615
688.11809814052413,615.5
688.12840461972337,615.5
688.138710819157,615.5
688.14901673880081,615.5
688.15932237863058,615.5
688.169627738622,617.5
688.17993281875113,616
688.19023761899348,614.5
688.20054213932508,614.5
688.21084637972172,616
688.22115034015917,616.5
688.23145402061334,616.5
688.24175742105979,616
688.25206054147475,616
688.26236338183367,614
688.27266594211267,618.5
688.28296822228754,618.5
688.293270222334,617.5
688.30357194222779,615
688.313873381945,615
688.32417454146116,615.5
688.33447542075248,614.5
688.34477601979461,614.5
688.35507633856332,615.5
688.36537637703464,618
688.37567613518422,618
688.38597561298786,614.5
688.3962748104218,614.5
688.40657372746159,616
688.416872364083,617
688.42717072026221,615.5
688.43746879597472,616
688.44776659119668,613.5
688.45806410590376,615
688.46836134007208,613.5
688.47865829367709,615
688.48895496669479,616
688.49925135910132,616
688.50954747087246,617
688.51984330198377,617
688.53013885241148,616
688.54043412213127,616
688.550729111119,614.5
688.56102381935057,615
688.571318246802,615
688.58161239344918,615.5
688.59190625926772,616.5
688.60219984423384,616
688.61249314832321,616.5
688.62278617151185,616.5
688.63307891377542,617.5
688.64337137509,615
688.65366355543142,615
688.66395545477576,617
688.67424707309851,616
688.68453841037592,616
688.69482946658388,613.5
688.70512024169818,613
688.71541073569472,615
688.72570094854939,616
688.73599088023821,618
688.746280530737,618
688.75656990002153,618.5
688.766858988068,617.5
688.77714779485223,615
688.78743632035,615
688.79772456453748,615
688.80801252739025,617
688.81830020888458,617
688.82858760899614,615.5
688.838874727701,615.5
688.849161564975,616.5
688.85944812079424,616.5
688.86973439513429,613
688.8800203879714,612.5
688.89030609928147,613.5
688.9005915290403,613
688.910876677224,617
688.92116154380835,615.5
688.93144612876927,617
688.94173043208275,617
688.95201445372481,619
688.96229819367147,618
688.97258165189851,617
688.98286482838193,616
688.99314772309765,615.5
689.00343033602178,614.5
689.01371266712988,619.5
689.02399471639831,618.5
689.034276483803,616.5
689.04455796931961,616
689.0548391729244,613.5
689.06512009459323,616
689.075400734302,612.5
689.0856810920269,619
689.09596116774355,619.5
689.10624096142817,622
689.11652047305677,615.5
689.126799702605,615.5
689.13707865004938,616.5
689.1473573153653,617.5
689.15763569852913,616.5
689.16791379951655,613.5
689.1781916183038,613.5
689.18846915486688,616.5
689.19874640918158,617.5
689.20902338122414,616
689.21930007097023,615.5
689.2295764783961,615.5
