Wavelength,Intensity
687.07570695451261,622.5
687.08604156513275,625
687.09637589843942,627.5
687.1067099544083,629.5
687.11704373301473,630.5
687.1273772342347,631
687.13771045804367,628.5
687.14804340441719,624
687.15837607333117,626.5
687.16870846476115,624.5
687.17904057868259,627
687.18937241507138,628.5
687.199703973903,628.5
687.21003525515334,631
687.22036625879775,625.5
687.230696984812,625.5
687.24102743317189,625.5
687.251357603853,626.5
687.26168749683086,626.5
687.27201711208136,627
687.2823464495799,627
687.2926755093024,627.5
687.30300429122428,628
687.31333279532146,629
687.32366102156948,629
687.333988969944,628.5
687.34431664042086,628.5
687.35464403297544,627
687.36497114758367,628.5
687.37529798422122,626.5
687.38562454286341,625.5
687.39595082348637,624
687.40627682606566,627.5
687.416602550577,625
687.42692799699591,625.5
687.4372531652981,626.5
687.4475780554593,625.5
687.45790266745541,626.5
687.468227001262,626.5
687.4785510568546,626.5
687.488874834209,627.5
687.49919833330091,628
687.5095215541063,626
687.5198444966004,626
687.53016716075922,626
687.54048954655843,629
687.5508116539736,630
687.56113348298072,628
687.57145503355514,625
687.58177630567286,624.5
687.59209729930944,623.5
687.60241801444079,628
687.61273845104245,629
687.62305860909009,627.5
687.63337848855963,625.5
687.64369808942649,627
687.65401741166681,626.5
687.66433645525592,628
687.67465522016994,630
687.68497370638443,629
687.69529191387483,631
687.70560984261726,628
687.71592749258741,632
687.72624486376083,626.5
687.73656195611352,626.5
687.74687876962093,626.5
687.757195304259,627
687.7675115600033,627
687.77782753682982,627
687.7881432347142,629
687.79845865363222,629.5
687.80877379355945,629
687.81908865447178,631.5
687.82940323634512,629.5
687.839717539155,629.5
687.85003156287723,629
687.86034530748736,629
687.87065877296163,630.5
687.8809719592756,630.5
687.891284866405,629
687.90159749432553,629
687.91190984301306,627
687.92222191244332,627
687.932533702592,630.5
687.94284521343491,629.5
687.953156444948,629.5
687.96346739710691,628
687.97377806988743,627
687.98408846326538,629
687.99439857721632,627
688.00470841171636,630.5
688.01501796674108,629
688.02532724226637,629
688.035636238268,626
688.04594495472179,628
688.05625339160349,627.5
688.0665615488889,626
688.07686942655369,626
688.08717702457375,625.5
688.0974843429251,628
688.10779138158318,626.5
688.11809814052413,626.5
688.12840461972337,625.5
688.138710819157,626.5
688.14901673880081,627.5
688.15932237863058,628.5
688.169627738622,626.5
688.17993281875113,628
688.19023761899348,626
688.20054213932508,632.5
688.21084637972172,631
688.22115034015917,633.5
688.23145402061334,629
688.24175742105979,633.5
688.25206054147475,630
688.26236338183367,633
688.27266594211267,628.5
688.28296822228754,628.5
688.293270222334,628
688.30357194222779,628.5
688.313873381945,628.5
688.32417454146116,629
688.33447542075248,629.5
688.34477601979461,630
688.35507633856332,632
688.36537637703464,631
688.37567613518422,627.5
688.38597561298786,626.5
688.3962748104218,628
688.40657372746159,627.5
688.416872364083,627.5
688.42717072026221,625.5
688.43746879597472,626
688.44776659119668,626.5
688.45806410590376,626.5
688.46836134007208,629
688.47865829367709,629
688.48895496669479,628
688.49925135910132,628.5
688.50954747087246,627
688.51984330198377,628
688.53013885241148,628.5
688.54043412213127,630
688.550729111119,629.5
688.56102381935057,628
688.571318246802,628.5
688.58161239344918,629.5
688.59190625926772,629.5
688.60219984423384,631.5
688.61249314832321,630.5
688.62278617151185,630
688.63307891377542,629.5
688.64337137509,629
688.65366355543142,630
688.66395545477576,630.5
688.67424707309851,631
688.68453841037592,631
688.69482946658388,630
688.70512024169818,629.5
688.71541073569472,628
688.72570094854939,628
688.73599088023821,628
688.746280530737,628
688.75656990002153,628
688.766858988068,628
688.77714779485223,630
688.78743632035,635
688.79772456453748,635
688.80801252739025,632.5
688.81830020888458,632
688.82858760899614,632
688.838874727701,631
688.849161564975,631.5
688.85944812079424,631.5
688.86973439513429,631.5
688.8800203879714,632
688.89030609928147,630.5
688.9005915290403,631.5
688.910876677224,631
688.92116154380835,631.5
688.93144612876927,628.5
688.94173043208275,628.5
688.95201445372481,630
688.96229819367147,630
688.97258165189851,629
688.98286482838193,627.5
688.99314772309765,626.5
689.00343033602178,627.5
689.01371266712988,628
689.02399471639831,628.5
689.034276483803,629.5
689.04455796931961,631
689.0548391729244,632.5
689.06512009459323,631
689.075400734302,627
689.0856810920269,626.5
689.09596116774355,627
689.10624096142817,634.5
689.11652047305677,629.5
689.126799702605,629.5
689.13707865004938,627.5
689.1473573153653,627.5
689.15763569852913,628
689.16791379951655,628.5
689.1781916183038,629
689.18846915486688,631
689.19874640918158,627
