X, Y (original), Y (smoothed),,X(R1),Y(R1),Y(R1_Bg),,X (R2),Y(R2), Y(R2_Bg)
684.5042241487364,735,725.9166915144184,,691.6254110137436,917.9385990866643,631.518814024657,,690.1948145977459,652.0560788002513,587.5970834970087
684.514626776526,735,724.8910336052847,,691.6404110137436,921.5558838208063,631.9793394045242,,690.2098145977459,653.2311936131845,588.057608876876
684.5250291330958,735,724.1167999374215,,691.6554110137436,925.225350500102,632.4398647843916,,690.2248145977459,654.4182142225803,588.5181342567433
684.5354312184214,728,723.740416376005,,691.6704110137435,928.9481489116984,632.9003901642589,,690.2398145977459,655.6174056043304,588.9786596366106
684.5458330324776,725,723.555751127533,,691.6854110137435,932.7254604956663,633.3609155441261,,690.2548145977458,656.8290401190261,589.439185016478
684.5562345752403,725,723.4738312055086,,691.7004110137435,936.558499389879,633.8214409239935,,690.2698145977458,658.0533977593359,589.8997103963452
684.566635846684,722,723.5648412987763,,691.7154110137435,940.4485135150866,634.2819663038607,,690.2848145977458,659.2907664070672,590.3602357762124
684.5770368467844,721,723.6451371744622,,691.7304110137435,944.3967857019547,634.7424916837281,,690.2998145977458,660.5414421003425,590.8207611560798
684.5874375755166,711,723.3116653455264,,691.7454110137435,948.4046348619142,635.2030170635953,,690.3148145977458,661.805729311348,591.2812865359471
684.5978380328556,711,723.1717674179449,,691.7604110137435,952.4734172037702,635.6635424434626,,690.3298145977458,663.083941235135,591.7418119158144
684.6082382187772,716,723.0231685652706,,691.7754110137435,956.6045274981058,636.1240678233299,,690.3448145977458,664.3764000899721,592.2023372956817
684.618638133256,719,723.1234213815483,,691.7904110137434,960.7994003916255,636.5845932031972,,690.3598145977458,665.683437429782,592.6628626755489
684.6290377762678,719,723.2714037502463,,691.8054110137434,965.0595117736914,637.0451185830645,,690.3748145977457,667.0053944692181,593.1233880554163
684.6394371477874,723,723.4233192685941,,691.8204110137434,969.3863801974064,637.5056439629318,,690.3898145977457,668.3426224219623,593.5839134352835
684.6498362477902,723,723.4198797999857,,691.8354110137434,973.781568357741,637.966169342799,,690.4048145977457,669.695482852866,594.0444388151509
684.6602350762514,723,723.553789463414,,691.8504110137434,978.2466846293029,638.4266947226664,,690.4198145977457,671.0643480445752,594.5049641950181
684.6706336331463,728,724.3417946260599,,691.8654110137434,982.7833846665029,638.8872201025337,,690.4348145977457,672.4496013793269,594.9654895748854
684.6810319184501,728,725.3412529019647,,691.8804110137434,987.3933730689987,639.347745482401,,690.4498145977457,673.851637736632,595.4260149547528
684.6914299321384,728,725.8591710883015,,691.8954110137433,992.0784051154551,639.8082708622683,,690.4648145977457,675.2708639076025,595.88654033462
684.7018276741859,729,726.3202152813785,,691.9104110137433,996.840288568817,640.2687962421355,,690.4798145977456,676.707699026718,596.3470657144874
684.712225144568,729,726.9089142722625,,691.9254110137433,1001.6808855564517,640.7293216220029,,690.4948145977456,678.162575021875,596.8075910943546
684.7226223432605,726,727.8274165278386,,691.9404110137433,1006.6021145287087,641.1898470018701,,690.5098145977456,679.6359370835983,597.2681164742219
684.7330192702378,726,728.6050318900636,,691.9554110137433,1011.6059522996184,641.6503723817375,,690.5248145977456,681.1282441543559,597.7286418540892
684.7434159254757,734,729.6725793702332,,691.9704110137433,1016.6944361736553,642.1108977616047,,690.5398145977456,682.6399694389547,598.1891672339565
684.7538123089491,734,730.2469952464261,,691.9854110137433,1021.8696661627089,642.571423141472,,690.5548145977456,684.1716009370618,598.6496926138238
684.7642084206337,725,731.1537491542894,,692.0004110137432,1027.1338072976114,643.0319485213394,,690.5698145977456,685.7236419989455,599.1102179936911
684.7746042605046,721,731.7149787621204,,692.0154110137432,1032.4890920388275,643.4924739012066,,690.5848145977455,687.2966119055924,599.5707433735583
684.7849998285369,725,732.3338235236184,,692.0304110137432,1037.9378227911432,643.952999281074,,690.5998145977455,688.8910464744292,600.0312687534257
684.795395124706,735,732.7774928019863,,692.0454110137432,1043.4823745274712,644.4135246609412,,690.6148145977455,690.507498691935,600.491794133293
684.8057901489872,735,733.412433261176,,692.0604110137432,1049.1251975271607,644.8740500408085,,690.6298145977455,692.1465393745129,600.9523195131603
684.8161849013555,744,733.7900755538882,,692.0754110137432,1054.8688202345043,645.3345754206758,,690.6448145977455,693.8087578590641,601.4128448930276
684.8265793817865,736,734.2815588278927,,692.0904110137432,1060.7158522434486,645.7951008005431,,690.6598145977455,695.4947627247893,601.8733702728948
684.8369735902553,745,734.9062160216611,,692.1054110137432,1066.6689874148503,646.2556261804104,,690.6748145977455,697.2051825478349,602.3338956527622
684.8473675267372,736,735.8496389310159,,692.1204110137431,1072.7310071329846,646.7161515602777,,690.6898145977455,698.9406666904881,602.7944210326294
684.8577611912075,735,736.5312393877421,,692.1354110137431,1078.904783708377,647.176676940145,,690.7048145977454,700.7018861267354,603.2549464124968
684.8681545836416,732,736.9499170816865,,692.1504110137431,1085.1932839344463,647.6372023200123,,690.7198145977454,702.4895343060937,603.715471792364
684.8785477040146,735,737.1268802863467,,692.1654110137431,1091.5995728058717,648.0977276998796,,690.7348145977454,704.3043280577454,604.1759971722313
684.8889405523017,732,737.2698980890245,,692.1804110137431,1098.1268174070437,648.5582530797469,,690.7498145977454,706.1470085371285,604.6365225520987
684.8993331284784,744,737.180582127837,,692.1954110137431,1104.778290979455,649.0187784596142,,690.7648145977454,708.0183422172556,605.0970479319659
684.90972543252,747,737.3348265070091,,692.210411013743,1111.5573771773961,649.4793038394814,,690.7798145977454,709.919121927182,605.5575733118333
