Wavelength,Intensity
684.5042241487364,616.5
684.514626776526,618.25
684.52502913309581,616.75
684.53543121842142,616.5
684.54583303247762,616.75
684.5562345752403,618.25
684.566635846684,618.25
684.57703684678438,618.75
684.58743757551656,619.75
684.59783803285563,620.75
684.60823821877716,620.25
684.618638133256,621.25
684.62903777626775,620.5
684.63943714778736,619.75
684.64983624779018,618.75
684.66023507625141,619.75
684.67063363314628,618.75
684.68103191845012,618.75
684.69142993213836,618.75
684.70182767418589,619
684.712225144568,620.75
684.72262234326047,620
684.73301927023783,618.5
684.74341592547569,617.75
684.75381230894914,618.5
684.76420842063374,618.75
684.77460426050459,618.25
684.78499982853691,617
684.795395124706,617.25
684.80579014898717,619
684.81618490135554,620
684.82657938178647,619.5
684.8369735902553,620
684.84736752673723,620.25
684.85776119120749,620.25
684.86815458364163,618.25
684.87854770401464,619.5
684.88894055230173,621
684.89933312847836,620
684.90972543252,619.5
684.92011746440153,619.25
684.93050922409827,618.5
684.940900711586,618.25
684.95129192683953,620
684.96168286983425,619
684.97207354054547,617.75
684.98246393894851,618.75
684.99285406501861,621
685.00324391873119,618.5
685.01363350006147,619.25
685.0240228089848,617.75
685.03441184547637,617.75
685.04480060951164,616.75
685.05518910106571,620
685.065577320114,620
685.075965266632,617.25
685.08635294059468,617.25
685.09674034197758,618.5
685.107127470756,618
685.117514326905,618
685.12790091040029,617.25
685.138287221217,617
685.14867325933039,619.25
685.15905902471582,616.5
685.16944451734889,616
685.17982973720427,618.5
685.190214684258,617.5
685.20059935848508,618.25
685.21098375986071,617.25
685.22136788836053,619.25
685.23175174395965,619.5
685.24213532663327,618.5
685.25251863635719,616.25
685.26290167310651,617.5
685.27328443685633,617.75
685.28366692758243,617
685.29404914525981,616.75
685.3044310898639,616.75
685.31481276137026,617.5
685.32519415975389,616.75
685.33557528499034,619
685.34595613705494,618.75
685.35633671592313,617.75
685.36671702157014,617.25
685.3770970539714,617
685.387476813102,616.5
685.39785629893765,616.25
685.40823551145365,616.25
685.41861445062534,618.25
685.42899311642782,616.25
685.43937150883687,617
685.4497496278276,617.5
685.46012747337545,617.25
685.470505045456,618
685.48088234404429,617.5
685.4912593691156,617.5
