Wavelength,Intensity
689.26040400651164,759
689.27067928441625,762
689.28095427988035,768
689.29122899288018,768
689.30150342339175,761
689.31177757139108,757
689.32205143685394,757
689.33232501975658,757
689.3425983200749,760
689.352871337785,770
689.36314407286272,770
689.37341652528426,770
689.38368869502563,770
689.39396058206262,761
689.40423218637147,761
689.4145035079282,771
689.42477454670882,776
689.43504530268922,771
689.44531577584576,763
689.45558596615388,763
689.46585587359027,760
689.47612549813061,755
689.48639483975091,751
689.49666389842741,753
689.5069326741359,753
689.51720116685249,761
689.52746937655343,764
689.53773730321461,772
689.548004946812,772
689.55827230732177,791
689.56853938471988,770
689.5788061789824,768
689.58907269008546,768
689.59933891800517,772
689.60960486271733,777
689.61987052419818,783
689.63013590242383,785
689.64040099737019,786
689.6506658090135,789
689.66093033732955,789
689.67119458229479,787
689.68145854388479,761
689.69172222207612,767
689.70198561684469,767
689.71224872816629,772
689.72251155601748,772
689.73277410037383,772
689.743036361212,772
689.75329833850742,775
689.76356003223668,782
689.77382144237561,782
689.78408256890043,777
689.79434341178728,777
689.80460397101183,784
689.81486424655066,787
689.82512423837977,800
689.835383946475,800
689.8456433708127,802
689.85590251136887,800
689.86616136811972,795
689.876419941041,795
689.8866782301094,796
689.89693623530059,799
689.90719395659073,796
689.91745139395607,792
689.92770854737239,786
689.93796541681627,782
689.94822200226372,782
689.95847830369053,784
689.96873432107316,784
689.9789900543874,784
689.98924550360971,789
689.99950066871611,789
690.00975554968261,789
690.02001014648545,782
690.03026445910075,782
690.04051848750464,780
690.05077223167325,788
690.06102569158259,762
690.07127886720912,777
690.08153175852851,777
690.09178436551713,782
690.10203668815132,789
690.112288726407,789
690.12254048026023,790
690.13279194968743,795
690.14304313466459,796
690.15329403516785,796
690.16354465117331,804
690.17379498265734,804
690.184045029596,804
690.19429479196515,794
690.20454426974129,794
690.21479346290062,794
690.225042371419,795
690.235290995273,801
690.24553933443838,816
690.25578738889146,816
690.26603515860859,809
690.27628264356576,809
690.28652984373912,809
690.29677675910477,808
690.3070233896392,808
690.31726973531829,818
690.32751579611852,819
690.33776157201567,821
690.3480070629862,819
690.35825226900624,822
690.368497190052,821
690.37874182609971,821
690.38898617712539,811
690.39923024310542,809
690.40947402401582,809
690.41971751983283,825
690.42996073053268,825
690.44020365609174,825
690.45044629648612,835
690.46068865169184,837
690.47093072168525,835
690.48117250644248,830
690.49141400593987,830
690.50165522015345,856
690.51189614905968,856
690.52213679263457,835
690.53237715085436,835
690.54261722369529,853
690.55285701113371,853
690.56309651314575,855
690.57333572970754,841
690.58357466079531,855
690.59381330638541,857
690.60405166645387,866
690.61428974097737,867
690.62452752993158,867
690.63476503329309,873
690.64500225103825,873
690.65523918314273,869
690.66547582958333,865
690.675712190336,865
690.68594826537708,865
690.69618405468282,861
690.70641955822953,866
690.71665477599322,869
690.72688970795048,873
690.73712435407731,880
690.74735871435,880
690.75759278874489,879
690.76782657723811,868
690.7780600798061,868
690.788293296425,868
690.79852622707108,865
690.80875887172056,865
690.81899123034987,865
690.82922330293513,870
690.8394550894526,865
690.84968658987873,865
690.85991780418965,865
690.87014873236149,868
690.88037937437082,868
690.89060973019377,868
690.9008397998067,896
690.91106958318574,896
690.92129908030734,875
690.93152829114763,875
690.941757215683,880
690.95198585388971,883
690.96221420574409,883
690.97244227122269,879
690.98267005030118,879
690.99289754295626,882
691.00312474916427,891
691.01335166890124,905
691.02357830214385,905
691.033804648868,905
691.04403070905039,915
691.054256482667,926
691.06448196969438,934
691.0747071701087,926
691.0849320838862,934
691.09515671100348,932
691.10538105143655,932
691.115605105162,932
691.12582887215581,941
691.13605235239459,956
691.14627554585456,950
691.156498452512,975
691.16672107234342,950
691.176943405325,947
691.18716545143309,946
691.19738721064414,946
691.20760868293428,941
691.21782986827975,945
691.22805076665736,945
691.23827137804312,960
691.2484917024135,960
691.25871173974451,958
691.268931490013,958
691.279150953195,985
691.2893701292669,987
691.2995890182051,991
691.30980761998592,1001
691.32002593458583,1002
691.33024396198107,1001
691.34046170214788,1001
691.35067915506283,1001
691.3608963207023,1042
691.37111319904261,1042
691.38132979006,1024
691.39154609373077,1024
691.40176211003154,1032
691.4119778389387,1033
691.42219328042836,1039
691.43240843447711,1048
691.4426233010613,1055
691.45283788015718,1055
691.46305217174131,1038
691.47326617578972,1038
691.48347989227932,1038
691.49369332118624,1050
691.50390646248661,1053
691.51411931615712,1082
691.52433188217424,1088
691.5345441605142,1089
691.54475615115336,1104
691.55496785406831,1129
691.56517926923516,1123
691.57539039663061,1123
691.58560123623079,1123
691.59581178801227,1145
691.60602205195141,1152
691.61623202802468,1153
691.62644171620832,1168
691.6366511164789,1172
691.6468602288129,1186
691.65706905318655,1198
691.66727758957643,1198
691.67748583795867,1184
691.68769379831,1184
691.69790147060678,1210
691.70810885482535,1225
691.71831595094216,1229
691.72852275893376,1232
691.73872927877642,1244
691.74893551044647,1232
691.75914145392062,1247
691.7693471091751,1273
691.7795524761865,1278
691.789757554931,1303
691.79996234538544,1335
691.810166847526,1338
691.82037106132918,1361
691.83057498677147,1361
691.84077862382924,1368
691.85098197247885,1386
691.86118503269688,1393
691.8713878044598,1407
691.88159028774407,1407
691.89179248252617,1439
691.90199438878233,1439
691.91219600648924,1432
691.92239733562337,1432
691.93259837616108,1432
691.942799128079,1453
691.9529995913532,1494
691.96319976596055,1499
691.97339965187746,1534
691.98359924908016,1535
691.99379855754535,1535
692.00399757724961,1559
692.01419630816918,1599
692.02439475028052,1606
692.03459290356045,1630
692.044790767985,1654
692.05498834353091,1666
692.0651856301746,1666
692.07538262789274,1740
692.08557933666168,1776
692.09577575645778,1776
692.10597188725774,1784
692.11616772903778,1871
692.12636328177484,1892
692.13655854544515,1905
692.14675352002519,1948
692.15694820549152,1967
692.16714260182061,2025
692.17733670898906,2029
692.18753052697332,2030
692.19772405574986,2095
692.20791729529526,2131
692.218110245586,2143
692.22830290659874,2187
692.23849527830964,2221
692.24868736069561,2252
692.25887915373289,2360
692.26907065739829,2409
692.27926187166815,2452
692.28945279651884,2554
692.29964343192717,2577
692.30983377786958,2706
692.32002383432257,2765
692.33021360126281,2846
692.34040307866667,2851
692.35059226651072,2851
692.36078116477154,2893
692.37096977342571,2969
692.3811580924496,3215
692.39134612181988,3309
692.40153386151326,3322
692.411721311506,3605
692.42190847177483,3750
692.43209534229629,3891
692.442281923047,4012
692.452468214003,4028
692.4626542151417,4084
692.47283992643906,4191
692.483025347872,4226
692.49321047941658,4324
692.50339532105,4426
692.51357987274832,4591
692.52376413448837,4752
692.53394810624661,4964
692.54413178799962,5137
692.55431517972409,5451
692.5644982813966,5725
692.57468109299361,5913
692.58486361449172,6190
692.5950458458675,6704
692.60522778709765,7067
692.61540943815862,7278
692.62559079902712,7616
692.63577186967973,7753
692.64595265009291,7885
692.65613314024336,8123
692.66631334010765,8598
